trustLevel|totalScanTimeInSeconds|grandTotal|lineItemVoids|scansWithoutRegistration|quantityModifications|scannedLineItemsPerSecond|valuePerSecond|lineItemVoidsPerPosition|fraud
4|828|66.56|7|4|3|0.0072463768115942|0.0803864734299517|1.16666666666667|0
1|1612|31.34|2|4|3|0.0086848635235732|0.0194416873449132|0.14285714285714302|0
3|848|52.37|2|4|0|0.0224056603773585|0.0617570754716981|0.10526315789473699|0
1|321|76.03|8|7|2|0.0716510903426791|0.23685358255451702|0.34782608695652195|0
1|660|6.06|3|7|1|0.0272727272727273|0.00918181818181818|0.166666666666667|0
4|1156|80.22|6|4|0|0.023356401384082997|0.0693944636678201|0.222222222222222|0
1|871|89.92|2|5|5|0.00229621125143513|0.10323765786452399|1.0|0
3|185|98.96|4|2|1|0.14594594594594598|0.5349189189189191|0.148148148148148|0
6|1790|70.66|5|1|0|0.00726256983240223|0.0394748603351955|0.384615384615385|0
1|1758|19.32|0|7|5|0.0164960182025028|0.0109897610921502|0.0|1
4|697|81.24|4|8|1|0.0286944045911047|0.11655667144906698|0.2|0
2|1797|31.25|1|1|3|0.0111296605453534|0.0173900946021146|0.05|0
6|858|15.69|2|3|0|0.0163170163170163|0.0182867132867133|0.14285714285714302|0
1|518|48.65|9|10|3|0.0501930501930502|0.0939189189189189|0.34615384615384603|1
4|474|86.63|9|8|1|0.0569620253164557|0.18276371308016895|0.33333333333333304|0
1|827|83.7|5|10|4|0.0108827085852479|0.10120918984280498|0.555555555555556|0
2|1355|48.87|2|0|4|0.00516605166051661|0.0360664206642066|0.28571428571428603|0
3|1593|25.53|2|2|2|0.0175768989328311|0.0160263653483992|0.0714285714285714|0
2|150|60.24|4|3|1|0.0533333333333333|0.4016|0.5|0
2|1571|12.01|8|8|5|0.0063653723742839|0.007644812221514959|0.8|0
2|1561|76.66|4|7|2|0.00704676489429853|0.0491095451633568|0.36363636363636404|0
1|338|36.45|10|10|5|0.0710059171597633|0.10784023668639099|0.4166666666666671|1
4|30|52.22|9|6|2|0.9|1.74066666666667|0.33333333333333304|0
2|617|67.96|0|0|5|0.00162074554294976|0.11014586709886501|0.0|0
2|1021|6.24|1|10|2|0.0029382957884427|0.00611165523996082|0.33333333333333304|0
3|113|90.02|3|8|0|0.247787610619469|0.796637168141593|0.107142857142857|0
4|1221|93.06|2|2|0|0.0106470106470106|0.0762162162162162|0.153846153846154|0
4|1568|99.64|3|2|4|0.0153061224489796|0.0635459183673469|0.125|0
6|328|56.33|1|9|0|0.0640243902439024|0.17173780487804902|0.0476190476190476|0
1|1380|54.08|8|4|1|0.0101449275362319|0.0391884057971014|0.5714285714285711|0
6|854|18.45|10|9|4|0.0327868852459016|0.0216042154566745|0.3571428571428571|0
5|1244|49.41|2|1|3|0.0168810289389068|0.0397186495176849|0.0952380952380952|0
6|300|93.04|4|4|3|0.0333333333333333|0.31013333333333304|0.4|0
2|456|88.51|10|6|0|0.00219298245614035|0.194100877192982|10.0|0
5|1068|41.13|6|1|3|0.00842696629213483|0.0385112359550562|0.666666666666667|0
6|1243|66.54|8|8|4|0.0120675784392599|0.0535317779565567|0.5333333333333329|0
3|1203|31.51|9|1|4|0.0149625935162095|0.02619285120532|0.5|0
5|1271|94.65|8|1|0|0.00865460267505901|0.0744689221085759|0.7272727272727271|0
6|1448|58.75|11|8|0|0.0138121546961326|0.0405732044198895|0.55|0
4|1178|55.11|3|2|5|0.0254668930390492|0.0467826825127334|0.1|0
2|758|18.6|6|8|5|0.00659630606860158|0.0245382585751979|1.2|0
3|1364|23.4|6|10|1|0.005865102639296189|0.0171554252199414|0.75|0
6|1826|42.12|4|10|5|0.00985761226725082|0.0230668127053669|0.222222222222222|0
2|1553|63.32|7|8|1|0.00193174500965873|0.0407726980038635|2.3333333333333304|0
3|1784|8.08|11|6|0|0.0162556053811659|0.00452914798206278|0.37931034482758597|0
3|1599|36.79|9|5|3|0.0100062539086929|0.0230081300813008|0.5625|0
2|1400|44.37|10|1|2|0.02|0.0316928571428571|0.3571428571428571|1
2|502|23.46|6|3|4|0.0577689243027888|0.0467330677290837|0.206896551724138|0
2|1187|64.15|2|9|5|0.0033698399326032|0.0540438079191238|0.5|0
6|1060|71.23|1|0|5|0.0188679245283019|0.0671981132075472|0.05|0
6|1055|74.87|10|3|0|0.0180094786729858|0.0709668246445498|0.526315789473684|0
4|923|93.36|2|2|3|0.0184182015167931|0.10114842903575301|0.11764705882352902|0
2|788|91.04|1|4|1|0.0050761421319797|0.115532994923858|0.25|0
3|1328|93.55|5|4|5|0.0210843373493976|0.0704442771084337|0.178571428571429|0
2|1173|92.99|0|8|5|0.0196078431372549|0.0792753623188406|0.0|0
6|1831|60.66|10|4|0|0.008738394320043691|0.0331294374658656|0.625|0
1|1406|77.48|7|1|5|0.0163584637268848|0.0551066856330014|0.304347826086957|1
5|900|24.74|2|2|2|0.0177777777777778|0.0274888888888889|0.125|0
5|568|52.08|11|6|4|0.0105633802816901|0.0916901408450704|1.8333333333333302|0
4|1005|78.16|1|0|3|0.00796019900497512|0.077771144278607|0.125|0
4|543|26.23|6|4|1|0.0165745856353591|0.0483057090239411|0.666666666666667|0
3|691|33.87|9|5|1|0.0303907380607815|0.0490159189580318|0.42857142857142894|0
6|1246|80.08|8|6|2|0.00240770465489567|0.0642696629213483|2.6666666666666696|0
5|87|63.45|2|7|3|0.149425287356322|0.7293103448275859|0.153846153846154|0
3|1239|47.75|9|1|4|0.0048426150121065395|0.0385391444713479|1.5|0
2|1455|27.06|7|1|1|0.0178694158075601|0.0185979381443299|0.269230769230769|0
2|274|17.49|7|10|0|0.0218978102189781|0.0638321167883212|1.16666666666667|0
2|214|14.17|0|4|3|0.0560747663551402|0.066214953271028|0.0|0
2|1278|98.78|2|3|1|0.00625978090766823|0.0772926447574335|0.25|0
2|1789|43.78|0|6|1|0.00670765790944662|0.0244717719396311|0.0|0
5|1684|35.59|2|3|4|0.0142517814726841|0.0211342042755344|0.0833333333333333|0
3|651|49.17|3|7|0|0.007680491551459291|0.0755299539170507|0.6|0
3|1569|19.5|6|2|4|0.00892288081580625|0.0124282982791587|0.42857142857142894|0
5|1487|51.83|3|7|1|0.00134498991257566|0.0348554135843981|1.5|0
1|1123|28.94|1|0|5|0.0133570792520036|0.0257702582368655|0.0666666666666667|0
2|369|36.17|10|4|2|0.0569105691056911|0.0980216802168022|0.47619047619047605|0
6|631|44.78|2|5|5|0.009508716323296359|0.0709667194928685|0.33333333333333304|0
1|1262|65.81|9|3|5|0.0110935023771791|0.0521473851030111|0.6428571428571429|0
4|1419|58.79|7|9|1|0.006342494714587739|0.041430584918957|0.7777777777777779|0
1|1295|45.66|5|7|4|0.0030888030888030897|0.0352586872586873|1.25|0
2|462|37.29|0|1|1|0.0346320346320346|0.0807142857142857|0.0|0
1|1177|82.53|8|0|4|0.0110450297366185|0.0701189464740867|0.615384615384615|0
2|45|32.81|4|4|0|0.133333333333333|0.7291111111111109|0.666666666666667|0
5|808|52.65|10|5|3|0.0185643564356436|0.0651608910891089|0.666666666666667|0
1|1654|36.28|8|7|5|0.0151148730350665|0.0219347037484885|0.32|1
2|1656|2.7|0|10|1|0.00301932367149758|0.0016304347826087|0.0|0
2|1327|7.02|7|1|5|0.0188394875659382|0.00529012810851545|0.28|0
2|506|86.07|0|6|1|0.0237154150197628|0.170098814229249|0.0|0
3|983|14.07|2|4|0|0.0193285859613428|0.0143133265513733|0.10526315789473699|0
3|1584|34.22|8|6|0|0.0132575757575758|0.0216035353535354|0.38095238095238104|0
5|793|10.3|8|5|1|0.0201765447667087|0.0129886506935687|0.5|0
2|1510|83.44|1|2|2|0.00132450331125828|0.0552582781456954|0.5|0
2|1564|24.77|0|9|5|0.00447570332480818|0.0158375959079284|0.0|0
3|435|9.79|2|5|4|0.0528735632183908|0.0225057471264368|0.0869565217391304|0
1|213|48.5|0|0|3|0.126760563380282|0.227699530516432|0.0|0
6|1292|78.35|11|5|5|0.00696594427244582|0.0606424148606811|1.22222222222222|0
2|1068|23.64|4|0|1|0.0131086142322097|0.0221348314606742|0.28571428571428603|0
3|527|80.08|11|5|5|0.0303605313092979|0.15195445920303602|0.6875|0
4|322|83.14|9|8|2|0.0527950310559006|0.258198757763975|0.529411764705882|0
4|1655|83.13|6|8|0|0.00664652567975831|0.0502296072507553|0.545454545454545|0
6|351|73.52|8|1|3|0.0398860398860399|0.20945868945868898|0.5714285714285711|0
2|1526|79.95|10|0|1|0.009829619921363041|0.052391874180865|0.666666666666667|0
6|407|62.09|7|3|3|0.0393120393120393|0.15255528255528303|0.4375|0
4|590|57.23|2|3|1|0.0508474576271186|0.09699999999999999|0.0666666666666667|0
1|679|90.5|7|4|5|0.0265095729013255|0.13328424153166402|0.38888888888888895|0
4|515|92.19|1|1|0|0.0388349514563107|0.17900970873786398|0.05|0
6|595|36.09|1|9|2|0.0252100840336134|0.060655462184874|0.0666666666666667|0
5|1017|55.61|10|10|4|0.0245821042281219|0.0546804326450344|0.4|0
3|455|33.13|5|3|0|0.0527472527472527|0.0728131868131868|0.208333333333333|0
5|1808|30.75|4|7|2|0.009402654867256641|0.0170077433628319|0.23529411764705901|0
1|883|74.69|11|2|2|0.0124575311438279|0.0845866364665912|1.0|0
4|767|9.18|8|8|3|0.0247718383311604|0.0119687092568449|0.421052631578947|0
4|179|90.91|6|0|5|0.0782122905027933|0.507877094972067|0.42857142857142894|0
4|168|62.96|1|9|3|0.166666666666667|0.374761904761905|0.0357142857142857|0
5|1601|83.72|9|7|5|0.00124921923797626|0.0522923173016864|4.5|0
6|1488|41.73|3|9|1|0.00806451612903226|0.0280443548387097|0.25|0
5|1720|86.84|4|1|3|0.00988372093023256|0.0504883720930233|0.23529411764705901|0
1|63|99.7|8|10|5|0.0317460317460317|1.58253968253968|4.0|0
6|720|49.12|11|4|5|0.0236111111111111|0.0682222222222222|0.647058823529412|0
2|1425|72.87|4|2|1|0.0168421052631579|0.0511368421052632|0.166666666666667|0
2|378|70.18|1|0|2|0.0211640211640212|0.185661375661376|0.125|0
6|1482|81.55|3|3|4|0.0134952766531714|0.0550269905533063|0.15|0
3|422|12.28|9|3|5|0.0118483412322275|0.0290995260663507|1.8|0
5|672|34.76|0|9|1|0.0386904761904762|0.0517261904761905|0.0|0
1|264|89.38|4|5|0|0.0416666666666667|0.338560606060606|0.36363636363636404|0
3|136|42.61|6|0|4|0.161764705882353|0.31330882352941203|0.272727272727273|0
6|1530|56.97|6|9|2|0.00326797385620915|0.0372352941176471|1.2|0
4|168|9.35|6|6|5|0.136904761904762|0.0556547619047619|0.260869565217391|0
